,Organisation,Title,Link,Date
84,BOJ,Sources of Changes in Current Account Balances and Market Operations (May)[XLSX 28KB],https://www.boj.or.jp/en/statistics/boj/fm/juqf/juqf05.xlsx,"June  1, 2023"
85,ECB,"What do we know about the global financial safety net? Rationale, data and possible evolution",https://www.ecb.europa.eu/pub/pdf/scpops/GFSN_FINAL~adc4c00068.en.zip?41354baffdf5a5e7900d1d432ebe08d1,29 June 2023
86,ECB,Rational inattention and the business cycle effects of productivity and news shocks,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2827~0b39cb6d81.en.pdf?8a3b78bea84004eeed24b40b42beb800,29 June 2023
87,ECB,Survey on credit terms and conditions in euro-dominated securities financing and OTC derivatives markets (SESFOD) - June 2023,https://www.ecb.europa.eu/pub/pdf/other/SESFOD_2023_Q2_summary~d1605ff2ab.en.pdf?8000d47b8b04e0bfeed7fe604e15dd0c,29 June 2023
88,ECB,Results of the June 2023 Survey on credit terms and conditions in euro-denominated securities financing and over-the-counter derivatives markets (SESFOD),https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230704~b5f8bcb45f.en.html,29 June 2023
89,ECB,Implications for macroprudential policy as the financial cycle turns,https://www.ecb.europa.eu/pub/financial-stability/macroprudential-bulletin/html/ecb.mpbu202307_01~ef3b5994fb.en.html,29 June 2023
90,ECB,"Economic Bulletin Issue 4, 2023",https://www.ecb.europa.eu/pub/economic-bulletin/html/eb202304.en.html,29 June 2023
91,ECB,The great retrenchment in euro area external financial flows in 2022 – insights from more granular balance of payments statistics,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_06~d281ab6f41.en.html,29 June 2023
92,ECB,Selling price expectations of firms ‒ evidence from the SAFE,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_05~088a7a23f8.en.html,29 June 2023
93,ECB,The development of the wage share in the euro area since the start of the pandemic,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_04~0dee9ead8e.en.html,29 June 2023
94,ECB,Inflation and competitiveness divergences in the euro area countries,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_08~350974a969.en.html,26 June 2023
95,ECB,Liquidity conditions and monetary policy operations from 8 February to 9 May 2023,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_07~3d61cf98ce.en.html,26 June 2023
96,ECB,How have unit profits contributed to the recent strengthening of euro area domestic price pressures?,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_03~705befadac.en.html,23 June 2023
97,ECB,"Earnings calls: new evidence on corporate profits, investment and financing conditions",https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_02~40e3556f39.en.html,23 June 2023
98,ECB,The consumption impulse from pandemic savings ‒ does the composition matter?,https://www.ecb.europa.eu/pub/economic-bulletin/focus/2023/html/ecb.ebbox202304_01~d76c76c27c.en.html,23 June 2023
99,ECB,The role of supply and demand in the post-pandemic recovery in the euro area,https://www.ecb.europa.eu/pub/economic-bulletin/articles/2023/html/ecb.ebart202304_01~509fc9d72c.en.html,23 June 2023
100,ECB,"What do we know about the global financial safety net? Rationale, data and possible evolution",https://www.ecb.europa.eu/pub/pdf/scpops/GFSN_FINAL~3891476476..zip?1a41882352ec2b37d9d05786fbc86804,23 June 2023
101,ECB,"Letter from the ECB President to Mr Chris MacManus, MEP, on cash payments",https://www.ecb.europa.eu/pub/pdf/other/ecb.mepletter2306023_MacManus~99ed5922a7.en.pdf?9de305639a3868fd0cc44abd06ca68ab,22 June 2023
102,ECB,"Letter from the ECB President to Mr Bas Eickhout, Ms Henrike Hahn, Mr Rasmus Andresen, Mr Ernest Urtasun, MEPs, on monetary policy",https://www.ecb.europa.eu/pub/pdf/other/ecb.mepletter230623_Eickhout_Hahn_Andresen_Urtasun~97f7d0cf28.en.pdf?16ab93f349efa0f23d03b882d3f927e0,21 June 2023
103,ECB,"Letter from the ECB President to Mr Nuno Melo, MEP, regarding a less significant credit institution",https://www.ecb.europa.eu/pub/pdf/other/ecb.mepletter230623_Melo~63dac8c294.en.pdf?d2bdb10b8c33749c23b3981d7402e59a,21 June 2023
104,ECB,"Letter from the ECB President to Mr Manu Pineda, MEP, on monetary policy",https://www.ecb.europa.eu/pub/pdf/other/ecb.mepletter230623_Pineda~5fd3ead41b.en.pdf?6c34b764fa739ef2475fd62339c0356d,21 June 2023
105,ECB,"Letter from the ECB President to Ms Manon Aubry, MEP, on monetary policy and financial stability",https://www.ecb.europa.eu/pub/pdf/other/ecb.mepletter230623_Aubry~5c10cc0072.en.pdf?fc8a02cc8bb1f730c0561adf9e332bed,21 June 2023
106,ECB,Navigating liquidity crises in non-banks: An assessment of central bank policies,https://www.ecb.europa.eu/pub/economic-research/resbull/2023/html/ecb.rb230620~956b988ecd.en.html,21 June 2023
107,ECB,The impact of war: extreme demand for euro cash in the wake of Russia’s invasion of Ukraine,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_05~3fd09c5bc9.en.html,21 June 2023
108,ECB,Impact of Brexit on the international role of the euro,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_04~f43eab6f30.en.html,21 June 2023
109,ECB,Valuation effects and rebalancing of official foreign exchange reserves,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_03~bc9d9d7ec8.en.html,21 June 2023
110,ECB,Investment funds and search for yield within the sovereign debt market of highly-rated issuers,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_02~34a6efea84.en.html,21 June 2023
111,ECB,Internationalisation of the renminbi and capital account openness,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_01~d3f9e5dbdf.en.html,21 June 2023
112,ECB,Determinants of currency choice in cross-border bank loans,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_03~0d41990c46.en.html,21 June 2023
113,ECB,How is a leading international currency replaced by another? Old versus new evidence,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_02~8c333b3f27.en.html,21 June 2023
